"checkins","latitude","longitude","name"
"The Plant Chicago","41.8105456562946","-87.660701894203","363"
"Chicago Blues District","41.8097881624862","-87.6084566116333","4189"
"Chicago Public Library","41.8280663942674","-87.6262879371643","637"
"Chicago Indoor Sports","41.8223686218262","-87.6682205200195","1974"
"Hampton Inn Chicago-Midway Airport","41.7739057774055","-87.7427423587592","1394"
"Courtyard Chicago Midway Airport","41.7729617653966","-87.7438913831821","1623"
"U.S. Cellular Field","41.8300799989088","-87.6340690255165","2460"
"University of Chicago Quad","41.7895528915609","-87.5997018814087","1702"
"Chicago Women's Park & Gardens","41.8578472907408","-87.6221680641174","856"
"Holiday Inn Express & Suites Chicago-Midway Airport","41.7745858937812","-87.743410623371","0"
"Chicago","41.805216","-87.700334","149983"
"United Center","41.8806172030016","-87.6741170883179","12330"
"Lou Malnati's Pizzeria","41.8714197184384","-87.6276688313789","2"
"Chicago Public Library","41.808522","-87.677226","8897"
"Jim's Original Hot Dog","41.865778637299","-87.645098967396","11"
"Chicago Public Library","41.8065891988605","-87.6772094581521","4"
"Holiday Inn Chicago - Midway Airport","41.772188","-87.745225","3527"
"Chicago Composite Initiative","41.8056536483135","-87.6959824562073","66326"
"Soldier Field","41.8618905409924","-87.6167607307434","617"
"Skydeck Chicago","41.8788438379561","-87.6359063386917","32276"
"Chicago Public Library","41.8150598807841","-87.7031949162483","152"
"Chicago International Produce Market","41.8455108234383","-87.673993167527","74703"
"Giordano's","41.8781758976077","-87.6348787846614","23576"
"Willis Tower","41.8787200200902","-87.6360511779785","140"
"Frank's Chicago Shrimp","41.81226489","-87.70727661","62456"
"The Art Institute of Chicago","41.879570763814","-87.6236593723297","8279"
"Buddy Guy's Legends","41.8731006475723","-87.6261457278025","111226"
"Millennium Park","41.8827579565002","-87.6234769821167","30"
"Eleven City Diner","41.8681227184641","-87.6257085800171","3376"
"Chicago Public Library","41.7935124690815","-87.6941934227943","101"
"DoubleTree by Hilton Hotel Chicago - North Shore Conference Center","42.0545082092285","-87.7456130981445","9567"
"Patch Cafe' in Chicago","42.0565261718326","-87.6864123344421","272"
"Chicago-Main Newsstand","42.0339258011354","-87.6794626521823","593"
"Chicago Sweet Connection Bakery","41.982421404161","-87.7806591826741","693"
"Chicago Costume Warehouse","41.9606708545965","-87.7460217475891","1122"
"Chicago Grind","41.9781634571269","-87.6601094754876","2206"
"Chicago Kalbi Korean BBQ","41.96831504","-87.722849","550"
"Music Institute of Chicago","42.044941131514","-87.6806421644172","507"
"Hampton Inn & Suites Chicago-North Shore/Skokie","42.061874","-87.756271","3208"
"Chicago Public Library — Sulzer Regional Library","41.9627889797054","-87.6844274997711","4550"
"Chicago Public Library","42.0070022175028","-87.6731890439987","1186"
"Chicago Public Library - Albany Park Branch","41.975492263648","-87.7138459682465","24662"
"Wrigley Field","41.9482558697294","-87.6554703712463","702"
"Kuma's Corner","41.9394777504051","-87.7003544569016","11368"
"Toro Sushi","41.92907","-87.642522","186405"
"Garrett Popcorn Shops","41.9761463045092","-87.9011821746826","21042"
"Chicago Lashes","42.0617815","-87.751998","3948"
"Chicago Smile Center","42.0543031","-87.7440044","11467"
"Gibsons Bar & Steakhouse","41.9015776649315","-87.6279917613752","60024"
"Lou Malnati's Pizzeria","41.9025629785011","-87.628668001628","3076"
"Portillo's","41.89343668892","-87.6314324140549","0"
"Chicago Jewish Funerals","42.0418716237402","-87.7470306193129","0"
"Chicago Exotics Animal Hospital","42.0407012148371","-87.7219539292279","14062"
"Giordano's","41.8956988231585","-87.6257829815746","50785"
"Lou Malnati's Pizzeria","41.8902719926785","-87.6338946819305","80"
"Chicago Exotics Animal Hospital","42.0406878041547","-87.7219676971435","174"
"Holiday Inn Chicago North Shore (Skokie)","42.0125307490448","-87.7606282575862","21701"
"Chicago Debt Solutions","42.0331337111635","-87.7334690093994","19582"
"United Center","41.8806172030016","-87.6741170883179","3"
"NuMale Medical Center - Chicago IL","42.0552516002333","-87.7415370941162","3630"
"Chicago","41.9541331615763","-87.7653376921897","1113"
"Gene & Jude's","41.9300598788458","-87.8465294837952","11467"
"Johnnie's Beef","41.9089863466688","-87.8132808208466","3924"
"Loews Chicago O’Hare Hotel","41.974068582058","-87.8625080734491","9750"
"Forno Rosso","41.947563094057","-87.8069900080237","1466"
"Hampton Chicago O Hare Intl Airport","41.9500421095954","-87.8850946679436","316"
"Kidd Joe's Tat Cave","41.9461317737427","-87.8069612028242","4053"
"Frank Lloyd Wright Home and Studio","41.8940799460891","-87.7996536894699","1226"
"Giordano's","41.8941325908631","-87.8036004698908","88"
"Central Chicago Tire","41.92631976768","-87.8222733706764","6012"
"Portage Park","41.9549104746811","-87.7646684646606","357"
"Marco's","41.923972","-87.775806","0"
"Tinting Chicago","41.93796","-87.80285","0"
"Car Gadgets Chicago","41.9378815988673","-87.8046655654907","283"
"Chicago Ink Tattoo & Body Piercing","41.93916","-87.72389","3404"
"Gino's East","41.985075923036","-87.843955899045","428"
"Wizard World - Chicago Comic Con","41.979529664894","-87.8610105275051","1965"
"Aloft Chicago O’Hare","41.9773586551701","-87.8671181201935","7915"
"Chicago Limo Party Bus","41.9387435256596","-87.8165316581726","0"
"Bob-O's Hot Dogs","41.95232","-87.834073","404"
"Epic Flowers Florist Chicago","41.9222491738522","-87.8014147281647","0"
"The Autobarn City Volkswagen of Chicago","41.9534735327495","-87.7609694677908","856"
